,,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score,M+CR2,M+CR+W3,,,, 
,332,North Moore High,45,38.1,499,479,455,978,1433,,,,
,336,Pinecrest High,210,60.5,544,513,502,1057,1559,,,,
,360,Union Pines High,89,35.5,536,517,506,1053,1559,,,,
640,640,Nash-Rocky Mount ,493,46.9,495,474,459,969,1428,,,,
,346,Nash Central High,123,47.3,497,475,461,972,1433,,,,
,347,Nrm Early College H ,,,,,,,,,,,
,350,Northern Nash High,138,54.1,479,468,442,947,1389,,,,
,361,Rocky Mount High,137,56.6,509,472,465,981,1446,,,,
,364,Southern Nash Sr High,95,39.3,497,485,471,982,1453,,,,
64A,64A,Rocky Mount Prep ,9,47.4,469,472,448,941,1389,,,,
650,650,New Hanover County ,939,62.8,529,499,488,1028,1516,,,,
,326,Emsley A Laney High,220,59.5,507,485,469,992,1461,,,,
,327,Eugene Ashley High,190,57.4,518,483,468,1001,1469,,,,
,342,John T Hoggard High,326,78,572,531,529,1103,1632,,,,
,352,New Hanover High,203,60.2,495,480,463,975,1438,,,,
660,660,Northampton County ,112,54.4,411,397,394,808,1202,,,,
,324,Northampton High West,56,54.4,416,395,394,811,1205,,,,
,336,Northampton High East,56,54.4,407,399,394,806,1200,,,,
670,670,Onslow County ,657,51.3,516,487,473,1003,1476,,,,
,320,Dixon High,41,45.1,497,478,479,975,1454,,,,
,324,Jacksonville High,141,57.8,515,485,468,1000,1468,,,,
,333,Northside High,94,52.8,507,490,481,997,1478,,,,
,340,Richlands High,73,48.7,527,493,478,1020,1498,,,,
,344,Southwest High,79,46.2,494,457,439,951,1390,,,,
,352,Swansboro High,87,49.2,534,495,488,1029,1517,,,,
,364,White Oak High,142,52.6,525,496,480,1021,1501,,,,
680,680,Orange County ,243,65.9,535,518,506,1053,1559,,,,
,310,Cedar Ridge High ,134,72.8,541,532,522,1073,1595,,,,
,332,Orange Senior High,109,58.9,528,502,487,1030,1517,,,,
681,681,Chapel Hill-Carrboro,719,92.8,601,588,580,1189,1769,,,,
,308,Chapel Hill High,388,91.1,609,593,584,1202,1786,,,,
,314,East Chapel Hill High,331,94.8,593,582,576,1175,1751,,,,
68N,68N,Pace Academy,,,,,,,,,,,
690,690,Pamlico County ,69,46,503,465,448,968,1416,,,,
,320,Pamlico County High,69,46,503,465,448,968,1416,,,,
700,700,Pasquotank County ,187,55.2,491,478,459,969,1428,,,,
,317,Northeastern High,89,53.3,499,484,468,983,1451,,,,
,319,Pasquotank County High,98,57,485,473,451,958,1409,,,,
710,710,Pender County ,221,55.9,501,476,464,977,1441,,,,
,321,Heide Trask High,58,50.9,473,458,450,931,1381,,,,
,326,Pender High,73,59.3,484,449,438,933,1371,,,,
,342,Topsail High,90,57,535,511,493,1046,1539,,,,
720,720,Perquimans County ,68,53.5,486,448,443,934,1377,,,,
,316,Perquimans Co High,68,53.5,486,448,443,934,1377,,,,
730,730,Person County ,175,51.8,487,480,459,967,1426,,,,
,352,Person High,175,51.8,487,480,459,967,1426,,,,
740,740,Pitt County ,728,59.5,515,490,474,1005,1479,,,,
,309,Ayden-Grifton High,45,37.8,506,510,471,1016,1487,,,,
,333,D H Conley High,158,60.8,541,508,489,1049,1538,,,,
,344,Farmville Central High,90,60.8,488,471,450,959,1409,,,,
,366,J H Rose High,213,68.1,538,507,497,1045,1542,,,,
,374,North Pitt High,91,57.6,461,436,427,897,1324,,,,
,388,South Central High,131,58,505,485,466,990,1456,,,,
750,750,Polk County ,57,41.9,515,495,481,1010,1491,,,,
